   policy            money             seed             land            income
( 0.50,  1.00)        2642.00                0                1        5050.00
( 0.50,  5.00)       32533.00              407              509      631375.00
( 0.50, 10.00)       30642.00                0              559      657850.00
( 0.50, 20.00)       27569.00                0              513      601025.00
( 0.50, 30.00)       21112.00              517              381      466900.00
( 0.50, 40.00)       14501.00             1632              389      484225.00
( 0.75,  1.00)        2642.00                0                1        5050.00
( 0.75,  5.00)       15102.00             1242              414      508800.00
( 0.75, 10.00)       20899.00             2078              559      689775.00
( 0.75, 20.00)       18995.00             1518              443      548775.00
( 0.75, 30.00)       26344.00             1719              510      641500.00
( 0.75, 40.00)       24140.00                0              441      517600.00
( 1.00,  1.00)        2732.00                0                1        5300.00
( 1.00,  5.00)       27973.00             1593              531      669475.00
( 1.00, 10.00)       28427.00             2270              638      793725.00
( 1.00, 20.00)       30961.00              660              486      604125.00
( 1.00, 30.00)       31440.00              786              527      650650.00
( 1.00, 40.00)       23005.00             1842              526      654675.00
( 2.00,  1.00)        2732.00                0                1        5300.00
( 2.00,  5.00)       30998.00              694              588      720350.00
( 2.00, 10.00)       33945.00              599              637      778075.00
( 2.00, 20.00)       26468.00             2292              470      614800.00
( 2.00, 30.00)       30426.00             1886              505      654800.00
( 2.00, 40.00)       25739.00             1388              501      630475.00
( 4.00,  1.00)        2717.00                0                1        5275.00
( 4.00,  5.00)        7070.00                7                2       15500.00
( 4.00, 10.00)       25465.00             1609              481      610575.00
( 4.00, 20.00)       23404.00             1491              428      547100.00
( 4.00, 30.00)       18878.00              895              352      441650.00
( 4.00, 40.00)       20005.00             1242              379      479675.00
